  Time                 , (V(Vout))@1          , (V(Vout))@2          , (V(Vout))@3          , (V(Vout))@4          , (V(Vout))@5          , (V(Vout))@6          , (V(Vout))@7          , (V(Vout))@8          , (V(Vout))@9          , (V(Vout))@10         , (V(Vout))@11         , (V(Vn))@1            , (V(Vn))@2            , (V(Vn))@3            , (V(Vn))@4            , (V(Vn))@5            , (V(Vn))@6            , (V(Vn))@7            , (V(Vn))@8            , (V(Vn))@9            , (V(Vn))@10           , (V(Vn))@11           , (V(Vp))@1            , (V(Vp))@2            , (V(Vp))@3            , (V(Vp))@4            , (V(Vp))@5            , (V(Vp))@6            , (V(Vp))@7            , (V(Vp))@8            , (V(Vp))@9            , (V(Vp))@10           , (V(Vp))@11           
  0.000000000000e+00  ,-7.759652337028e-03  ,-7.759652337028e-03  ,-7.759652337028e-03  ,-7.759652337028e-03  ,-7.759652337028e-03  ,-7.759652337028e-03  ,-7.759652337028e-03  ,-7.759652337028e-03  ,-7.759652337028e-03  ,-7.759652337028e-03  ,-7.759652337028e-03  ,0.000000000000e+00  ,0.000000000000e+00  ,0.000000000000e+00  ,0.000000000000e+00  ,0.000000000000e+00  ,0.000000000000e+00  ,0.000000000000e+00  ,0.000000000000e+00  ,0.000000000000e+00  ,0.000000000000e+00  ,0.000000000000e+00  ,0.000000000000e+00  ,0.000000000000e+00  ,0.000000000000e+00  ,0.000000000000e+00  ,0.000000000000e+00  ,0.000000000000e+00  ,0.000000000000e+00  ,0.000000000000e+00  ,0.000000000000e+00  ,0.000000000000e+00  ,0.000000000000e+00  
  5.000000000000e-07  ,-7.759629748158e-03  ,-7.759629748720e-03  ,-7.759629749265e-03  ,-7.759629749796e-03  ,-7.759629750318e-03  ,-7.759629750841e-03  ,-7.759629751346e-03  ,-7.759629751839e-03  ,-7.759629752328e-03  ,-7.759629752801e-03  ,-7.759629753270e-03  ,2.000000000000e-06  ,2.000000000000e-06  ,2.000000000000e-06  ,2.000000000000e-06  ,2.000000000000e-06  ,2.000000000000e-06  ,2.000000000000e-06  ,2.000000000000e-06  ,2.000000000000e-06  ,2.000000000000e-06  ,2.000000000000e-06  ,2.500000000000e-06  ,2.500000000000e-06  ,2.500000000000e-06  ,2.500000000000e-06  ,2.500000000000e-06  ,2.500000000000e-06  ,2.500000000000e-06  ,2.500000000000e-06  ,2.500000000000e-06  ,2.500000000000e-06  ,2.500000000000e-06  
  1.000000000000e-06  ,-7.759635389040e-03  ,-7.759635390901e-03  ,-7.759635392716e-03  ,-7.759635394494e-03  ,-7.759635396241e-03  ,-7.759635397963e-03  ,-7.759635399647e-03  ,-7.759635401297e-03  ,-7.759635402916e-03  ,-7.759635404505e-03  ,-7.759635406065e-03  ,4.000000000000e-06  ,4.000000000000e-06  ,4.000000000000e-06  ,4.000000000000e-06  ,4.000000000000e-06  ,4.000000000000e-06  ,4.000000000000e-06  ,4.000000000000e-06  ,4.000000000000e-06  ,4.000000000000e-06  ,4.000000000000e-06  ,5.000000000000e-06  ,5.000000000000e-06  ,5.000000000000e-06  ,5.000000000000e-06  ,5.000000000000e-06  ,5.000000000000e-06  ,5.000000000000e-06  ,5.000000000000e-06  ,5.000000000000e-06  ,5.000000000000e-06  ,5.000000000000e-06  
  2.000022888184e-06  ,-7.759680388202e-03  ,-7.759680395793e-03  ,-7.759680403221e-03  ,-7.759680410515e-03  ,-7.759680417659e-03  ,-7.759680424674e-03  ,-7.759680431558e-03  ,-7.759680438304e-03  ,-7.759680444935e-03  ,-7.759680451445e-03  ,-7.759680457824e-03  ,8.000091552734e-06  ,8.000091552734e-06  ,8.000091552734e-06  ,8.000091552734e-06  ,8.000091552734e-06  ,8.000091552734e-06  ,8.000091552734e-06  ,8.000091552734e-06  ,8.000091552734e-06  ,8.000091552734e-06  ,8.000091552734e-06  ,1.000011444092e-05  ,1.000011444092e-05  ,1.000011444092e-05  ,1.000011444092e-05  ,1.000011444092e-05  ,1.000011444092e-05  ,1.000011444092e-05  ,1.000011444092e-05  ,1.000011444092e-05  ,1.000011444092e-05  ,1.000011444092e-05  
  4.000068664551e-06  ,-7.759820508379e-03  ,-7.759820533722e-03  ,-7.759820558574e-03  ,-7.759820582947e-03  ,-7.759820606842e-03  ,-7.759820630282e-03  ,-7.759820653287e-03  ,-7.759820675870e-03  ,-7.759820698013e-03  ,-7.759820719761e-03  ,-7.759820741123e-03  ,1.600027465820e-05  ,1.600027465820e-05  ,1.600027465820e-05  ,1.600027465820e-05  ,1.600027465820e-05  ,1.600027465820e-05  ,1.600027465820e-05  ,1.600027465820e-05  ,1.600027465820e-05  ,1.600027465820e-05  ,1.600027465820e-05  ,2.000034332275e-05  ,2.000034332275e-05  ,2.000034332275e-05  ,2.000034332275e-05  ,2.000034332275e-05  ,2.000034332275e-05  ,2.000034332275e-05  ,2.000034332275e-05  ,2.000034332275e-05  ,2.000034332275e-05  ,2.000034332275e-05  
  8.000160217285e-06  ,-7.760396232228e-03  ,-7.760396331421e-03  ,-7.760396428665e-03  ,-7.760396524027e-03  ,-7.760396617561e-03  ,-7.760396709303e-03  ,-7.760396799322e-03  ,-7.760396887656e-03  ,-7.760396974349e-03  ,-7.760397059456e-03  ,-7.760397143016e-03  ,3.200064086914e-05  ,3.200064086914e-05  ,3.200064086914e-05  ,3.200064086914e-05  ,3.200064086914e-05  ,3.200064086914e-05  ,3.200064086914e-05  ,3.200064086914e-05  ,3.200064086914e-05  ,3.200064086914e-05  ,3.200064086914e-05  ,4.000080108643e-05  ,4.000080108643e-05  ,4.000080108643e-05  ,4.000080108643e-05  ,4.000080108643e-05  ,4.000080108643e-05  ,4.000080108643e-05  ,4.000080108643e-05  ,4.000080108643e-05  ,4.000080108643e-05  ,4.000080108643e-05  
  1.600034332275e-05  ,-7.762727230209e-03  ,-7.762727634877e-03  ,-7.762728031627e-03  ,-7.762728420657e-03  ,-7.762728802210e-03  ,-7.762729176503e-03  ,-7.762729543738e-03  ,-7.762729904104e-03  ,-7.762730257804e-03  ,-7.762730605015e-03  ,-7.762730945915e-03  ,6.400137329102e-05  ,6.400137329102e-05  ,6.400137329102e-05  ,6.400137329102e-05  ,6.400137329102e-05  ,6.400137329102e-05  ,6.400137329102e-05  ,6.400137329102e-05  ,6.400137329102e-05  ,6.400137329102e-05  ,6.400137329102e-05  ,8.000171661377e-05  ,8.000171661377e-05  ,8.000171661377e-05  ,8.000171661377e-05  ,8.000171661377e-05  ,8.000171661377e-05  ,8.000171661377e-05  ,8.000171661377e-05  ,8.000171661377e-05  ,8.000171661377e-05  ,8.000171661377e-05  
  3.200070953369e-05  ,-7.772072627902e-03  ,-7.772074310761e-03  ,-7.772075960635e-03  ,-7.772077578516e-03  ,-7.772079165281e-03  ,-7.772080721851e-03  ,-7.772082249077e-03  ,-7.772083747770e-03  ,-7.772085218732e-03  ,-7.772086662713e-03  ,-7.772088080464e-03  ,1.280028381348e-04  ,1.280028381348e-04  ,1.280028381348e-04  ,1.280028381348e-04  ,1.280028381348e-04  ,1.280028381348e-04  ,1.280028381348e-04  ,1.280028381348e-04  ,1.280028381348e-04  ,1.280028381348e-04  ,1.280028381348e-04  ,1.600035476685e-04  ,1.600035476685e-04  ,1.600035476685e-04  ,1.600035476685e-04  ,1.600035476685e-04  ,1.600035476685e-04  ,1.600035476685e-04  ,1.600035476685e-04  ,1.600035476685e-04  ,1.600035476685e-04  ,1.600035476685e-04  
  6.400144195557e-05  ,-7.809233391163e-03  ,-7.809240584134e-03  ,-7.809247636263e-03  ,-7.809254551641e-03  ,-7.809261334207e-03  ,-7.809267987759e-03  ,-7.809274515938e-03  ,-7.809280922252e-03  ,-7.809287210090e-03  ,-7.809293382695e-03  ,-7.809299443225e-03  ,2.560057678223e-04  ,2.560057678223e-04  ,2.560057678223e-04  ,2.560057678223e-04  ,2.560057678223e-04  ,2.560057678223e-04  ,2.560057678223e-04  ,2.560057678223e-04  ,2.560057678223e-04  ,2.560057678223e-04  ,2.560057678223e-04  ,3.200072097778e-04  ,3.200072097778e-04  ,3.200072097778e-04  ,3.200072097778e-04  ,3.200072097778e-04  ,3.200072097778e-04  ,3.200072097778e-04  ,3.200072097778e-04  ,3.200072097778e-04  ,3.200072097778e-04  ,3.200072097778e-04  
  1.140014419556e-04  ,-7.915449145206e-03  ,-7.915474058309e-03  ,-7.915498484069e-03  ,-7.915522436680e-03  ,-7.915545929725e-03  ,-7.915568976301e-03  ,-7.915591589052e-03  ,-7.915613780080e-03  ,-7.915635561087e-03  ,-7.915656943323e-03  ,-7.915677937644e-03  ,4.560057678223e-04  ,4.560057678223e-04  ,4.560057678223e-04  ,4.560057678223e-04  ,4.560057678223e-04  ,4.560057678223e-04  ,4.560057678223e-04  ,4.560057678223e-04  ,4.560057678223e-04  ,4.560057678223e-04  ,4.560057678223e-04  ,5.700072097778e-04  ,5.700072097778e-04  ,5.700072097778e-04  ,5.700072097778e-04  ,5.700072097778e-04  ,5.700072097778e-04  ,5.700072097778e-04  ,5.700072097778e-04  ,5.700072097778e-04  ,5.700072097778e-04  ,5.700072097778e-04  
