  Time                 , (V(Vout))@1          , (V(Vout))@2          , (V(Vout))@3          , (V(Vout))@4          , (V(Vout))@5          , (V(Vout))@6          , (V(Vout))@7          , (V(Vout))@8          , (V(Vout))@9          , (V(Vout))@10         , (V(Vout))@11         , (V(Vn))@1            , (V(Vn))@2            , (V(Vn))@3            , (V(Vn))@4            , (V(Vn))@5            , (V(Vn))@6            , (V(Vn))@7            , (V(Vn))@8            , (V(Vn))@9            , (V(Vn))@10           , (V(Vn))@11           , (V(Vp))@1            , (V(Vp))@2            , (V(Vp))@3            , (V(Vp))@4            , (V(Vp))@5            , (V(Vp))@6            , (V(Vp))@7            , (V(Vp))@8            , (V(Vp))@9            , (V(Vp))@10           , (V(Vp))@11           
  0.000000000000e+00  ,-7.759652337028e-03  ,-7.829465580187e-03  ,-7.899278752720e-03  ,-7.969091854567e-03  ,-8.038904885703e-03  ,-8.108717846098e-03  ,-8.178530735810e-03  ,-8.248343554782e-03  ,-8.318156303041e-03  ,-8.387968980636e-03  ,-8.457781587520e-03  ,0.000000000000e+00  ,0.000000000000e+00  ,0.000000000000e+00  ,0.000000000000e+00  ,0.000000000000e+00  ,0.000000000000e+00  ,0.000000000000e+00  ,0.000000000000e+00  ,0.000000000000e+00  ,0.000000000000e+00  ,0.000000000000e+00  ,0.000000000000e+00  ,0.000000000000e+00  ,0.000000000000e+00  ,0.000000000000e+00  ,0.000000000000e+00  ,0.000000000000e+00  ,0.000000000000e+00  ,0.000000000000e+00  ,0.000000000000e+00  ,0.000000000000e+00  ,0.000000000000e+00  
  5.000000000000e-07  ,-7.758944268237e-03  ,-7.828757508611e-03  ,-7.898570685786e-03  ,-7.968383792239e-03  ,-8.038196816819e-03  ,-8.108009781802e-03  ,-8.177822668666e-03  ,-8.247635488463e-03  ,-8.317448245002e-03  ,-8.387260916028e-03  ,-8.457073519971e-03  ,6.283185203825e-05  ,6.283185203825e-05  ,6.283185203825e-05  ,6.283185203825e-05  ,6.283185203825e-05  ,6.283185203825e-05  ,6.283185203825e-05  ,6.283185203825e-05  ,6.283185203825e-05  ,6.283185203825e-05  ,6.283185203825e-05  ,1.256637061229e-05  ,1.256637061229e-05  ,1.256637061229e-05  ,1.256637061229e-05  ,1.256637061229e-05  ,1.256637061229e-05  ,1.256637061229e-05  ,1.256637061229e-05  ,1.256637061229e-05  ,1.256637061229e-05  ,1.256637061229e-05  
  1.000000000000e-06  ,-7.759124738381e-03  ,-7.828937989857e-03  ,-7.898751161859e-03  ,-7.968564263161e-03  ,-8.038377293844e-03  ,-8.108190257349e-03  ,-8.178003147721e-03  ,-8.247815968530e-03  ,-8.317628720985e-03  ,-8.387441397947e-03  ,-8.457254012854e-03  ,1.256636978753e-04  ,1.256636978753e-04  ,1.256636978753e-04  ,1.256636978753e-04  ,1.256636978753e-04  ,1.256636978753e-04  ,1.256636978753e-04  ,1.256636978753e-04  ,1.256636978753e-04  ,1.256636978753e-04  ,1.256636978753e-04  ,2.513274121218e-05  ,2.513274121218e-05  ,2.513274121218e-05  ,2.513274121218e-05  ,2.513274121218e-05  ,2.513274121218e-05  ,2.513274121218e-05  ,2.513274121218e-05  ,2.513274121218e-05  ,2.513274121218e-05  ,2.513274121218e-05  
  2.000022888184e-06  ,-7.760553946076e-03  ,-7.830367199453e-03  ,-7.900180385141e-03  ,-7.969993499864e-03  ,-8.039806544883e-03  ,-8.109619518581e-03  ,-8.179432422369e-03  ,-8.249245253527e-03  ,-8.319058010399e-03  ,-8.388870700723e-03  ,-8.458683320298e-03  ,2.513302223522e-04  ,2.513302223522e-04  ,2.513302223522e-04  ,2.513302223522e-04  ,2.513302223522e-04  ,2.513302223522e-04  ,2.513302223522e-04  ,2.513302223522e-04  ,2.513302223522e-04  ,2.513302223522e-04  ,2.513302223522e-04  ,5.026605756793e-05  ,5.026605756793e-05  ,5.026605756793e-05  ,5.026605756793e-05  ,5.026605756793e-05  ,5.026605756793e-05  ,5.026605756793e-05  ,5.026605756793e-05  ,5.026605756793e-05  ,5.026605756793e-05  ,5.026605756793e-05  
  4.000068664551e-06  ,-7.765003253598e-03  ,-7.834816565858e-03  ,-7.904629804811e-03  ,-7.974442964881e-03  ,-8.044256060080e-03  ,-8.114069079051e-03  ,-8.183882028811e-03  ,-8.253694901139e-03  ,-8.323507709110e-03  ,-8.393320442918e-03  ,-8.463133107176e-03  ,5.026629240154e-04  ,5.026629240154e-04  ,5.026629240154e-04  ,5.026629240154e-04  ,5.026629240154e-04  ,5.026629240154e-04  ,5.026629240154e-04  ,5.026629240154e-04  ,5.026629240154e-04  ,5.026629240154e-04  ,5.026629240154e-04  ,1.005326895849e-04  ,1.005326895849e-04  ,1.005326895849e-04  ,1.005326895849e-04  ,1.005326895849e-04  ,1.005326895849e-04  ,1.005326895849e-04  ,1.005326895849e-04  ,1.005326895849e-04  ,1.005326895849e-04  ,1.005326895849e-04  
  8.000160217285e-06  ,-7.783286935682e-03  ,-7.853100626221e-03  ,-7.922914236766e-03  ,-7.992727776810e-03  ,-8.062541227459e-03  ,-8.132354603629e-03  ,-8.202167903116e-03  ,-8.271981125661e-03  ,-8.341794265881e-03  ,-8.411607327295e-03  ,-8.481420308527e-03  ,1.005325549007e-03  ,1.005325549007e-03  ,1.005325549007e-03  ,1.005325549007e-03  ,1.005325549007e-03  ,1.005325549007e-03  ,1.005325549007e-03  ,1.005325549007e-03  ,1.005325549007e-03  ,1.005325549007e-03  ,1.005325549007e-03  ,2.010659480620e-04  ,2.010659480620e-04  ,2.010659480620e-04  ,2.010659480620e-04  ,2.010659480620e-04  ,2.010659480620e-04  ,2.010659480620e-04  ,2.010659480620e-04  ,2.010659480620e-04  ,2.010659480620e-04  ,2.010659480620e-04  
  1.600034332275e-05  ,-7.857330819542e-03  ,-7.927147569291e-03  ,-7.996964182547e-03  ,-8.066780648150e-03  ,-8.136596988007e-03  ,-8.206413191341e-03  ,-8.276229261813e-03  ,-8.346045198052e-03  ,-8.415861012551e-03  ,-8.485676699740e-03  ,-8.555492264083e-03  ,2.010628572376e-03  ,2.010628572376e-03  ,2.010628572376e-03  ,2.010628572376e-03  ,2.010628572376e-03  ,2.010628572376e-03  ,2.010628572376e-03  ,2.010628572376e-03  ,2.010628572376e-03  ,2.010628572376e-03  ,2.010628572376e-03  ,4.021324205628e-04  ,4.021324205628e-04  ,4.021324205628e-04  ,4.021324205628e-04  ,4.021324205628e-04  ,4.021324205628e-04  ,4.021324205628e-04  ,4.021324205628e-04  ,4.021324205628e-04  ,4.021324205628e-04  ,4.021324205628e-04  
  3.200070953369e-05  ,-8.154320391286e-03  ,-8.224161557744e-03  ,-8.294002107549e-03  ,-8.363842065557e-03  ,-8.433681431815e-03  ,-8.503520230163e-03  ,-8.573358476121e-03  ,-8.643196183049e-03  ,-8.713033353853e-03  ,-8.782870010010e-03  ,-8.852706159584e-03  ,4.021056809703e-03  ,4.021056809703e-03  ,4.021056809703e-03  ,4.021056809703e-03  ,4.021056809703e-03  ,4.021056809703e-03  ,4.021056809703e-03  ,4.021056809703e-03  ,4.021056809703e-03  ,4.021056809703e-03  ,4.021056809703e-03  ,8.042650099358e-04  ,8.042650099358e-04  ,8.042650099358e-04  ,8.042650099358e-04  ,8.042650099358e-04  ,8.042650099358e-04  ,8.042650099358e-04  ,8.042650099358e-04  ,8.042650099358e-04  ,8.042650099358e-04  ,8.042650099358e-04  
  6.400144195557e-05  ,-9.336229934792e-03  ,-9.406264818111e-03  ,-9.476295338364e-03  ,-9.546321606814e-03  ,-9.616343762444e-03  ,-9.686361904101e-03  ,-9.756376146416e-03  ,-9.826386594581e-03  ,-9.896393358713e-03  ,-9.966396528964e-03  ,-1.003639620487e-02  ,8.040490927583e-03  ,8.040490927583e-03  ,8.040490927583e-03  ,8.040490927583e-03  ,8.040490927583e-03  ,8.040490927583e-03  ,8.040490927583e-03  ,8.040490927583e-03  ,8.040490927583e-03  ,8.040490927583e-03  ,8.040490927583e-03  ,1.608527343653e-03  ,1.608527343653e-03  ,1.608527343653e-03  ,1.608527343653e-03  ,1.608527343653e-03  ,1.608527343653e-03  ,1.608527343653e-03  ,1.608527343653e-03  ,1.608527343653e-03  ,1.608527343653e-03  ,1.608527343653e-03  
  1.140014419556e-04  ,-1.271825733127e-02  ,-1.278928549679e-02  ,-1.286029024464e-02  ,-1.293127224966e-02  ,-1.300223213490e-02  ,-1.307317053129e-02  ,-1.314408803132e-02  ,-1.321498521100e-02  ,-1.328586261008e-02  ,-1.335672077091e-02  ,-1.342756020191e-02  ,1.431359646912e-02  ,1.431359646912e-02  ,1.431359646912e-02  ,1.431359646912e-02  ,1.431359646912e-02  ,1.431359646912e-02  ,1.431359646912e-02  ,1.431359646912e-02  ,1.431359646912e-02  ,1.431359646912e-02  ,1.431359646912e-02  ,2.865144239683e-03  ,2.865144239683e-03  ,2.865144239683e-03  ,2.865144239683e-03  ,2.865144239683e-03  ,2.865144239683e-03  ,2.865144239683e-03  ,2.865144239683e-03  ,2.865144239683e-03  ,2.865144239683e-03  ,2.865144239683e-03  
