  Time                 , V(Vout)              , V(Vn)                , V(Vp)                
  0.000000000000e+00  ,-7.394037367851e-03  ,0.000000000000e+00  ,0.000000000000e+00  
  5.000000000000e-07  ,-7.393316431259e-03  ,6.283185203825e-05  ,1.256637061229e-05  
  1.000000000000e-06  ,-7.393467071959e-03  ,1.256636978753e-04  ,2.513274121218e-05  
  2.000022888184e-06  ,-7.394765266035e-03  ,2.513302223522e-04  ,5.026605756793e-05  
  4.000068664551e-06  ,-7.398809555531e-03  ,5.026629240154e-04  ,1.005326895849e-04  
  8.000160217285e-06  ,-7.415425733477e-03  ,1.005325549007e-03  ,2.010659480620e-04  
  1.600034332275e-05  ,-7.482708527077e-03  ,2.010628572376e-03  ,4.021324205628e-04  
  3.200070953369e-05  ,-7.752500165760e-03  ,4.021056809703e-03  ,8.042650099358e-04  
  6.400144195557e-05  ,-8.825551654582e-03  ,8.040490927583e-03  ,1.608527343653e-03  
  1.140014419556e-04  ,-1.189325838441e-02  ,1.431359646912e-02  ,2.865144239683e-03  
  1.640014419556e-04  ,-1.660782913563e-02  ,2.057257621904e-02  ,4.121732857896e-03  
  2.140014419556e-04  ,-2.290895109096e-02  ,2.681125331999e-02  ,5.378280796269e-03  
  2.640014419556e-04  ,-3.073658919938e-02  ,3.302347095088e-02  ,6.634775653183e-03  
  3.140014419556e-04  ,-4.003095679724e-02  ,3.920309840291e-02  ,7.891205027539e-03  
  3.640014419556e-04  ,-5.073254128554e-02  ,4.534403712987e-02  ,9.147556518888e-03  
  4.140014419556e-04  ,-6.278208020057e-02  ,5.144022676662e-02  ,1.040381772755e-02  
  4.640014419556e-04  ,-7.612058828975e-02  ,5.748565111002e-02  ,1.165997625472e-02  
  5.140014419556e-04  ,-9.068933871697e-02  ,6.347434405609e-02  ,1.291601970264e-02  
  5.640014419556e-04  ,-1.064298913162e-01  ,6.940039548794e-02  ,1.417193567466e-02  
  6.140014419556e-04  ,-1.232840786400e-01  ,7.525795710824e-02  ,1.542771177540e-02  
  6.640014419556e-04  ,-1.411940351705e-01  ,8.104124821089e-02  ,1.668333561085e-02  
  7.140014419556e-04  ,-1.601021879102e-01  ,8.674456138578e-02  ,1.793879478851e-02  
  7.640014419556e-04  ,-1.799512863484e-01  ,9.236226815137e-02  ,1.919407691751e-02  
  8.140014419556e-04  ,-2.006843972930e-01  ,9.788882450934e-02  ,2.044916960872e-02  
  8.640014419556e-04  ,-2.222449353765e-01  ,1.033187764158e-01  ,2.170406047488e-02  
  9.140014419556e-04  ,-2.445766618632e-01  ,1.086467651637e-01  ,2.295873713073e-02  
