  Time                 , V(Vout)              , V(Vn)                , V(Vp)                
  0.000000000000e+00  ,-9.467200031350e-03  ,0.000000000000e+00  ,0.000000000000e+00  
  5.000000000000e-07  ,-9.466323628917e-03  ,6.283185203825e-05  ,1.256637061229e-05  
  1.000000000000e-06  ,-9.466504768086e-03  ,1.256636978753e-04  ,2.513274121218e-05  
  2.000022888184e-06  ,-9.468085724707e-03  ,2.513302223522e-04  ,5.026605756793e-05  
  4.000068664551e-06  ,-9.473015690951e-03  ,5.026629240154e-04  ,1.005326895849e-04  
  8.000160217285e-06  ,-9.493281144054e-03  ,1.005325549007e-03  ,2.010659480620e-04  
  1.600034332275e-05  ,-9.575378759040e-03  ,2.010628572376e-03  ,4.021324205628e-04  
  3.200070953369e-05  ,-9.904817030707e-03  ,4.021056809703e-03  ,8.042650099358e-04  
  6.400144195557e-05  ,-1.121686984624e-02  ,8.040490927583e-03  ,1.608527343653e-03  
  1.140014419556e-04  ,-1.497573804098e-02  ,1.431359646912e-02  ,2.865144239683e-03  
  1.640014419556e-04  ,-2.076590545869e-02  ,2.057257621904e-02  ,4.121732857896e-03  
  2.140014419556e-04  ,-2.852287306664e-02  ,2.681125331999e-02  ,5.378280796269e-03  
  2.640014419556e-04  ,-3.818186214502e-02  ,3.302347095088e-02  ,6.634775653183e-03  
  3.140014419556e-04  ,-4.967780045309e-02  ,3.920309840291e-02  ,7.891205027539e-03  
  3.640014419556e-04  ,-6.294536882090e-02  ,4.534403712987e-02  ,9.147556518888e-03  
  4.140014419556e-04  ,-7.791899289120e-02  ,5.144022676662e-02  ,1.040381772755e-02  
  4.640014419556e-04  ,-9.453289041906e-02  ,5.748565111002e-02  ,1.165997625472e-02  
  5.140014419556e-04  ,-1.127210683193e-01  ,6.347434405609e-02  ,1.291601970264e-02  
  5.640014419556e-04  ,-1.324173705110e-01  ,6.940039548794e-02  ,1.417193567466e-02  
  6.140014419556e-04  ,-1.535554799782e-01  ,7.525795710824e-02  ,1.542771177540e-02  
  6.640014419556e-04  ,-1.760689669776e-01  ,8.104124821089e-02  ,1.668333561085e-02  
  7.140014419556e-04  ,-1.998912958561e-01  ,8.674456138578e-02  ,1.793879478851e-02  
  7.640014419556e-04  ,-2.249558735548e-01  ,9.236226815137e-02  ,1.919407691751e-02  
  8.140014419556e-04  ,-2.511960602770e-01  ,9.788882450934e-02  ,2.044916960872e-02  
  8.640014419556e-04  ,-2.785452191865e-01  ,1.033187764158e-01  ,2.170406047488e-02  
  9.140014419556e-04  ,-3.069367301811e-01  ,1.086467651637e-01  ,2.295873713073e-02  
  9.640014419556e-04  ,-3.363040393587e-01  ,1.138675326715e-01  ,2.421318719311e-02  
  1.014001441956e-03  ,-3.665806778512e-01  ,1.189759266720e-01  ,2.546739828110e-02  
  1.064001441956e-03  ,-3.977003096781e-01  ,1.239669057969e-01  ,2.672135801616e-02  
  1.114001441956e-03  ,-4.295967547482e-01  ,1.288355445526e-01  ,2.797505402220e-02  
  1.164001441956e-03  ,-4.622040360541e-01  ,1.335770381803e-01  ,2.922847392576e-02  
  1.214001441956e-03  ,-4.954564059850e-01  ,1.381867073982e-01  ,3.048160535607e-02  
  1.264001441956e-03  ,-5.292883927763e-01  ,1.426600030194e-01  ,3.173443594525e-02  
  1.314001441956e-03  ,-5.636348298377e-01  ,1.469925104412e-01  ,3.298695332835e-02  
  1.364001441956e-03  ,-5.984309012755e-01  ,1.511799540019e-01  ,3.423914514355e-02  
  1.414001441956e-03  ,-6.336121739624e-01  ,1.552182012001e-01  ,3.549099903220e-02  
  1.464001441956e-03  ,-6.691146419189e-01  ,1.591032667734e-01  ,3.674250263902e-02  
  1.514001441956e-03  ,-7.048747608564e-01  ,1.628313166312e-01  ,3.799364361218e-02  
  1.564001441956e-03  ,-7.408294912452e-01  ,1.663986716383e-01  ,3.924440960341e-02  
  1.614001441956e-03  ,-7.769163350281e-01  ,1.698018112461e-01  ,4.049478826816e-02  
  1.664001441956e-03  ,-8.130733771946e-01  ,1.730373769666e-01  ,4.174476726570e-02  
  1.714001441956e-03  ,-8.492393243909e-01  ,1.761021756871e-01  ,4.299433425924e-02  
  1.764001441956e-03  ,-8.853535448230e-01  ,1.789931828213e-01  ,4.424347691606e-02  
  1.814001441956e-03  ,-9.213561085114e-01  ,1.817075452941e-01  ,4.549218290762e-02  
  1.864001441956e-03  ,-9.571878252524e-01  ,1.842425843576e-01  ,4.674043990970e-02  
  1.914001441956e-03  ,-9.927902863886e-01  ,1.865957982341e-01  ,4.798823560251e-02  
  1.964001441956e-03  ,-1.028105900546e+00  ,1.887648645858e-01  ,4.923555767081e-02  
  2.014001441956e-03  ,-1.063077936693e+00  ,1.907476428060e-01  ,5.048239380403e-02  
  2.064001441956e-03  ,-1.097650557493e+00  ,1.925421761320e-01  ,5.172873169641e-02  
  2.114001441956e-03  ,-1.131768863379e+00  ,1.941466935761e-01  ,5.297455904709e-02  
  2.164001441956e-03  ,-1.165378923357e+00  ,1.955596116732e-01  ,5.421986356025e-02  
  2.214001441956e-03  ,-1.198427819860e+00  ,1.967795360438e-01  ,5.546463294526e-02  
  2.264001441956e-03  ,-1.230863676836e+00  ,1.978052627698e-01  ,5.670885491672e-02  
  2.314001441956e-03  ,-1.262635705134e+00  ,1.986357795827e-01  ,5.795251719469e-02  
  2.364001441956e-03  ,-1.293694227725e+00  ,1.992702668628e-01  ,5.919560750470e-02  
  2.414001441956e-03  ,-1.323990725387e+00  ,1.997080984477e-01  ,6.043811357797e-02  
  2.464001441956e-03  ,-1.353477858917e+00  ,1.999488422505e-01  ,6.168002315146e-02  
  2.514001441956e-03  ,-1.382109514888e+00  ,1.999922606861e-01  ,6.292132396802e-02  
  2.564001441956e-03  ,-1.409840824710e+00  ,1.998383109057e-01  ,6.416200377651e-02  
  2.614001441956e-03  ,-1.436628210238e+00  ,1.994871448393e-01  ,6.540205033193e-02  
  2.664001441956e-03  ,-1.462429399563e+00  ,1.989391090452e-01  ,6.664145139552e-02  
  2.714001441956e-03  ,-1.487203472258e+00  ,1.981947443688e-01  ,6.788019473489e-02  
  2.764001441956e-03  ,-1.510910871779e+00  ,1.972547854080e-01  ,6.911826812413e-02  
  2.814001441956e-03  ,-1.533513450151e+00  ,1.961201597889e-01  ,7.035565934398e-02  
  2.864001441956e-03  ,-1.554974476869e+00  ,1.947919872499e-01  ,7.159235618187e-02  
  2.914001441956e-03  ,-1.575258682831e+00  ,1.932715785370e-01  ,7.282834643211e-02  
  2.964001441956e-03  ,-1.594332265649e+00  ,1.915604341101e-01  ,7.406361789598e-02  
  3.014001441956e-03  ,-1.612162932647e+00  ,1.896602426621e-01  ,7.529815838183e-02  
  3.064001441956e-03  ,-1.628719902478e+00  ,1.875728794525e-01  ,7.653195570526e-02  
  3.114001441956e-03  ,-1.643973947048e+00  ,1.853004044569e-01  ,7.776499768919e-02  
  3.164001441956e-03  ,-1.657897389348e+00  ,1.828450603337e-01  ,7.899727216398e-02  
  3.214001441956e-03  ,-1.670464144136e+00  ,1.802092702110e-01  ,8.022876696759e-02  
  3.264001441956e-03  ,-1.681649711938e+00  ,1.773956352956e-01  ,8.145946994566e-02  
  3.314001441956e-03  ,-1.691431218331e+00  ,1.744069323054e-01  ,8.268936895164e-02  
  3.364001441956e-03  ,-1.699787404064e+00  ,1.712461107294e-01  ,8.391845184694e-02  
  3.414001441956e-03  ,-1.706698662818e+00  ,1.679162899169e-01  ,8.514670650100e-02  
  3.464001441956e-03  ,-1.712147027380e+00  ,1.644207559991e-01  ,8.637412079144e-02  
  3.514001441956e-03  ,-1.716116205786e+00  ,1.607629586458e-01  ,8.760068260418e-02  
  3.564001441956e-03  ,-1.718591547488e+00  ,1.569465076615e-01  ,8.882637983354e-02  
  3.614001441956e-03  ,-1.719560149178e+00  ,1.529751694225e-01  ,9.005120038240e-02  
